id,stateAbbr,stateName,incomeTaxRate,incomeGreaterThan,incomeNotGreaterThan,deductionsingle,deductionmarried,personalexemptionsingle,personalexemptionmarried,personalexemptiondependent,personalcreditsingle,personalcreditmarried,personalcreditdependent,fedtax,eitc,uibase,uirate
1,AL,Alabama,0.02,0,500,2500,7500,1500,3000,1000,0,0,0,0,,,
1,AL,Alabama,0.04,500,3000,2500,7500,1500,3000,1000,0,0,0,0,,,
1,AL,Alabama,0.05,3000,,2500,7500,1500,3000,1000,0,0,0,0,,,
2,AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,AZ,Arizona,0.0259,0,10000,5009,10010,2100,4200,2300,0,0,0,0,,,
4,AZ,Arizona,0.0288,10000,25000,5009,10010,2100,4200,2300,0,0,0,0,,,
4,AZ,Arizona,0.0336,25000,50000,5009,10010,2100,4200,2300,0,0,0,0,,,
4,AZ,Arizona,0.0424,50000,150000,5009,10010,2100,4200,2300,0,0,0,0,,,
4,AZ,Arizona,0.0454,150000,,5009,10010,2100,4200,2300,0,0,0,0,,,
5,AR,Arkansas,0.009,0,4299,2000,4000,0,0,0,26,26,26,0,,,
5,AR,Arkansas,0.024,4299,8399,2000,4000,0,0,0,26,26,26,0,,,
5,AR,Arkansas,0.034,8399,12599,2000,4000,0,0,0,26,26,26,0,,,
5,AR,Arkansas,0.044,12599,20999,2000,4000,0,0,0,26,26,26,0,,,
5,AR,Arkansas,0.059,20999,35099,2000,4000,0,0,0,26,26,26,0,,,
5,AR,Arkansas,0.069,35099,,2000,4000,0,0,0,26,26,26,0,,,
6,CA,California,0.01,0,7749,3992,7984,0,0,0,108,216,333,0,,,
6,CA,California,0.02,7749,18371,3992,7984,0,0,0,108,216,333,0,,,
6,CA,California,0.04,18371,28995,3992,7984,0,0,0,108,216,333,0,,,
6,CA,California,0.06,28995,40250,3992,7984,0,0,0,108,216,333,0,,,
6,CA,California,0.08,40250,50689,3992,7984,0,0,0,108,216,333,0,,,
6,CA,California,0.093,50689,259844,3992,7984,0,0,0,108,216,333,0,,,
6,CA,California,0.103,259844,311812,3992,7984,0,0,0,108,216,333,0,,,
6,CA,California,0.113,311812,519867,3992,7984,0,0,0,108,216,333,0,,,
6,CA,California,0.123,519867,1000000,3992,7984,0,0,0,108,216,333,0,,,
6,CA,California,0.133,1000000,,3992,7984,0,0,0,108,216,333,0,,,
8,CO,Colorado,0.046,0,0,0,0,0,0,0,0,0,0,1,,,
9,CT,Connecticut,0.03,0,10000,0,0,15000,24000,0,0,0,0,0,,,
9,CT,Connecticut,0.05,10000,50000,0,0,15000,24000,0,0,0,0,0,,,
9,CT,Connecticut,0.055,50000,100000,0,0,15000,24000,0,0,0,0,0,,,
9,CT,Connecticut,0.06,100000,200000,0,0,15000,24000,0,0,0,0,0,,,
9,CT,Connecticut,0.065,200000,250000,0,0,15000,24000,0,0,0,0,0,,,
9,CT,Connecticut,0.067,250000,2000,0,0,15000,24000,0,0,0,0,0,,,
10,DE,Delaware,0.022,2000,5000,3250,6500,0,0,0,110,110,110,0,,,
10,DE,Delaware,0.039,5000,10000,3250,6500,0,0,0,110,110,110,0,,,
10,DE,Delaware,0.048,10000,20000,3250,6500,0,0,0,110,110,110,0,,,
10,DE,Delaware,0.052,20000,25000,3250,6500,0,0,0,110,110,110,0,,,
10,DE,Delaware,0.0555,25000,60000,3250,6500,0,0,0,110,110,110,0,,,
10,DE,Delaware,0.066,60000,,3250,6500,0,0,0,110,110,110,0,,,
11,DC,District of Columbia,0.04,0,10000,5200,6650,2200,2200,2200,0,0,0,0,,,
11,DC,District of Columbia,0.06,10000,40000,5200,6650,2200,2200,2200,0,0,0,0,,,
11,DC,District of Columbia,0.07,40000,60000,5200,6650,2200,2200,2200,0,0,0,0,,,
11,DC,District of Columbia,0.085,60000,350000,5200,6650,2200,2200,2200,0,0,0,0,,,
11,DC,District of Columbia,0.0895,350000,,5200,6650,2200,2200,2200,0,0,0,0,,,
12,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,,,
13,GA,Georgia,0.01,0,750,2300,3000,2700,7400,3000,0,0,0,0,,,
13,GA,Georgia,0.02,750,2250,2300,3000,2700,7400,3000,0,0,0,0,,,
13,GA,Georgia,0.03,2250,3750,2300,3000,2700,7400,3000,0,0,0,0,,,
13,GA,Georgia,0.04,3750,5250,2300,3000,2700,7400,3000,0,0,0,0,,,
13,GA,Georgia,0.05,5250,7000,2300,3000,2700,7400,3000,0,0,0,0,,,
13,GA,Georgia,0.06,7000,,2300,3000,2700,7400,3000,0,0,0,0,,,
15,HI,Hawaii,0.014,0,2400,2200,4400,1144,1144,1144,0,0,0,0,,,
15,HI,Hawaii,0.032,2400,4800,2200,4400,1144,1144,1144,0,0,0,0,,,
15,HI,Hawaii,0.055,4800,9600,2200,4400,1144,1144,1144,0,0,0,0,,,
15,HI,Hawaii,0.064,9600,14400,2200,4400,1144,1144,1144,0,0,0,0,,,
15,HI,Hawaii,0.068,14400,19200,2200,4400,1144,1144,1144,0,0,0,0,,,
15,HI,Hawaii,0.072,19200,24000,2200,4400,1144,1144,1144,0,0,0,0,,,
15,HI,Hawaii,0.076,24000,36000,2200,4400,1144,1144,1144,0,0,0,0,,,
15,HI,Hawaii,0.079,36000,48000,2200,4400,1144,1144,1144,0,0,0,0,,,
